Gene Systematic Name	Gene Name	Description
YDR475C	JIP4	Protein of unknown function; previously annotated as two separate ORFs, YDR474C and YDR475C, which were merged as a result of corrections to the systematic reference sequence; JIP4 has a paralog, YOR019W, that arose from the whole genome duplication
YGL016W	KAP122	Karyopherin beta; bidirectional nuclear transport receptor (biportin) that shuttles distinct sets of cargoes in opposite directions; responsible for import of Toa1p-Toa2p complex into nucleus; depletes eIF5A and eEF2 from cell nuclei; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance
YJL034W	KAR2	ATPase involved in protein import into the ER; also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p
YPL269W	KAR9	Spindle positioning factor; orients astral microtubules, connecting them to actin cables at the cortex with Bim1p and Myo2, resulting in proper spindle positioning; targeted for StuBL-dependent degradation at kinetochores by Slx5p-Slx8p, ensuring chromosome transmission fidelity and correct spindle positioning; role in karyogamy; localizes to the shmoo tip, the growing bud-tip, the nucleus, the kinetochore, the spindle and microtubules; homolog of adenomatous polyposis coli
YGL216W	KIP3	Kinesin-related antiparallel sliding motor protein; involved in mitotic spindle positioning; sliding activity promotes bipolar spindle assembly and maintenance of genome stability; inhibits spindle elongation, destabilizing late anaphase spindle microtubules that polymerize beyond the midzone
YJL174W	KRE9	Glycoprotein involved in cell wall beta-glucan assembly; null mutation leads to severe growth defects, aberrant multibudded morphology, and mating defects
YCL059C	KRR1	Nucleolar protein required for rRNA synthesis and ribosomal assembly; required for the synthesis of 18S rRNA and for the assembly of 40S ribosomal subunit; essential gene
YDR037W	KRS1	Lysyl-tRNA synthetase
YKL110C	KTI12	Protein that plays a role in modification of tRNA wobble nucleosides; protein plays role in tRNA wobble nucleoside modification with Elongator complex; involved in sensitivity to G1 arrest induced by zymocin; interacts with chromatin throughout the genome; also interacts with Cdc19p
YBR205W	KTR3	Putative alpha-1,2-mannosyltransferase; involved in O- and N-linked protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; Svp26p mediates uptake of Ktr3p into COPII vesicles; relocalizes from nucleus to vacuole upon DNA replication stress
YBR199W	KTR4	Glycosyltransferase involved in protein glycosylation; transfers GDP-mannose to methyl-alpha-mannoside in vitro; member of the KRE2/MNT1 mannosyltransferase family of type II membrane proteins with a short cytoplasmic N-terminus, a membrane-spanning region and a highly conserved catalytic lumenal domain
YHR080C	LAM4	Sterol-binding protein that localizes to puncta in the cortical ER; sterol binding occurs via two StART-like domains; one of six StART-like domain-containing proteins in yeast that may be involved in intracellular sterol transfer between membranes; conserved across eukaryotes; has both GRAM and StART-like (VASt) domains; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YLL049W	LDB18	Component of the dynactin complex; dynactin is required for dynein activity; null mutant exhibits defects in nuclear migration and spindle orientation and has reduced affinity for alcian blue dye; has homology to mammalian dynactin subunit p24
YOR322C	LDB19	Alpha-arrestin, Ub-ligase adaptor for Rsp5p; regulates starvation- and substrate-induced Ub-dependent endocytosis of select plasma membrane localized amino acid transporters, recruiting Rsp5p to its targets; role in basal internalization and turnover of Ste2p, mating and zygote formation; recruits Rsp5p to Ste2p via its 2 PPXY motifs; inhibited by Npr1p-mediated phosphorylation, affecting cytosol and plasma membrane translocation; localization regulated by Rsp5p-dependent ubiquitination
YOR108W	LEU9	Alpha-isopropylmalate synthase II (2-isopropylmalate synthase); catalyzes the first step in the leucine biosynthesis pathway; the minor isozyme, responsible for the residual alpha-IPMS activity detected in a leu4 null mutant; LEU9 has a paralog, LEU4, that arose from the whole genome duplication
YKL073W	LHS1	Molecular chaperone of the endoplasmic reticulum lumen; involved in polypeptide translocation and folding; nucleotide exchange factor for the ER lumenal Hsp70 chaperone Kar2p; regulated by the unfolded protein response pathway
YHR156C	LIN1	Non-essential component of U5 snRNP; nuclear protein; physically interacts with Irr1p of cohesin complex; may link together proteins involved in chromosome segregation, mRNA splicing and DNA replication
YMR298W	LIP1	Ceramide synthase subunit; single-span ER membrane protein associated with Lag1p and Lac1p and required for ceramide synthase activity, null mutant grows extremely slowly and is defective in ceramide synthesis
YGR244C	LSC2	Beta subunit of succinyl-CoA ligase; succinyl-CoA ligase is a mitochondrial enzyme of the TCA cycle that catalyzes the nucleotide-dependent conversion of succinyl-CoA to succinate
YER112W	LSM4	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; forms cytoplasmic foci upon DNA replication stress
YPL004C	LSP1	Eisosome core component; eisosomes are large immobile patch structures at the cell cortex associated with endocytosis; phosphorylated on Thr233 upon Pkc1p hyperactivation in a Slt2p MAPK-dependent fashion; null mutants show activation of Pkc1p/Ypk1p stress resistance pathways; member of the BAR domain family
YNL006W	LST8	Subunit of TORC1 and TORC2 involved in TOR signaling; TORC1 regulates nutrient responsive growth and TORC2 regulates plasma membrane (PM) homeostasis and cell-cycle dependent actin cytoskeleton polarization; negative regulator of Rtg1p/3p and Gln3p transcription factors and amino acid biosynthesis; binds to both Tor1p and Tor2p, regulating the integrity and kinase activity of TORC2; PM retention is dependent on Avo3p; WD-repeat protein
YAL024C	LTE1	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures
YLR352W	LUG1	Protein of unknown function with similarity to F-box proteins; interacts with the core SCF ubiquitin ligase complex subunits Skp1p and Cdc53p; LUG1 deletion prevents cells containing the [URE3] prion or lacking Ure2p from growing on glycerol
YDL182W	LYS20	Homocitrate synthase isozyme and functions in DNA repair; catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; LYS20 has a paralog, LYS21, that arose from the whole genome duplication
YDR234W	LYS4	Homoaconitase; catalyzes the conversion of homocitrate to homoisocitrate, which is a step in the lysine biosynthesis pathway
YNR050C	LYS9	Saccharopine dehydrogenase (NADP+, L-glutamate-forming); catalyzes the formation of saccharopine from alpha-aminoadipate 6-semialdehyde, the seventh step in lysine biosynthesis pathway; exhibits genetic and physical interactions with TRM112
YAL025C	MAK16	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
YBR297W	MAL33	MAL-activator protein; part of complex locus MAL3; nonfunctional in genomic reference strain S288C
YOL060C	MAM3	Protein involved in magnesium homeostasis; required for Mg2+ sequestration in vacuole; required for normal mitochondrial morphology; has similarity to hemolysins
YLR163C	MAS1	Beta subunit of the mitochondrial processing protease (MPP); essential processing enzyme that cleaves the N-terminal targeting sequences from mitochondrially imported proteins
YPR153W	MAY24	Peripheral ER membrane protein; putative ER chaperone required for the stability and function of nutrient permeases exposed to high pressure
YOR298C-A	MBF1	Transcriptional coactivator; bridges the DNA-binding region of Gcn4p and TATA-binding protein Spt15p; suppressor of frameshift mutations; protein abundance increases in response to DNA replication stress
YOL119C	MCH4	Protein with similarity to mammalian monocarboxylate permeases; monocarboxylate permeases are involved in transport of monocarboxylic acids across the plasma membrane but mutant is not deficient in monocarboxylate transport
YIL150C	MCM10	Essential chromatin-associated protein; involved in initiation of DNA replication; required for association of MCM2-7 complex with replication origins; required to stabilize catalytic subunit of DNA polymerase-alpha; coordinates function of replication fork helicase; self-associates through its N-terminal domain
YEL032W	MCM3	Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex
YOR020W-A	MCO10	Mitochondrial protein of unknown function; conserved in A. gossypii; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YKL150W	MCR1	Mitochondrial NADH-cytochrome b5 reductase; involved in ergosterol biosynthesis
YKL085W	MDH1	Mitochondrial malate dehydrogenase; catalyzes interconversion of malate and oxaloacetate; involved in the tricarboxylic acid (TCA) cycle; phosphorylated; mutation in human homolog MDH2 causes early-onset severe encephalopathy
YNL328C	MDJ2	Constituent of the mitochondrial import motor; associated with the presequence translocase; function overlaps with that of Pam18p; stimulates the ATPase activity of Ssc1p to drive mitochondrial import; contains a J domain
YML104C	MDM1	PtdIns-3-P binding protein that tethers the ER to vacuoles at NVJs; anchored in the ER membrane at nucleus-vacuole junctions and binds phosphatidylinositol 3-phosphate (PtdIns-3-P) in the vacuolar membrane via its Phox homology (PX) domain; expressed predominantly in late G1 to early S phase of the cell cycle; mutation affects nuclear and mitochondrial transmission to daughter buds; similar to 4 human genes, one of which (SNX14) is associated with neurological disease
